Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.6129097124472149,0.7635135135135135,0.44664031620553357,0.5635910224438903,0.6954136087169819,0.7490081063244941
Random Forest,0.6700180977277297,0.7094644167278064,0.6949335249730507,0.7021237974223997,0.7215721019825194,0.7664192979460656
